"Fecha","Confirmados"
2020-03-10,2
2020-03-11,3
2020-03-12,3
2020-03-13,10
2020-03-14,10
2020-03-15,11
2020-03-16,11
2020-03-17,12
2020-03-18,12
2020-03-19,15
2020-03-20,19
2020-03-21,20
2020-03-22,27
2020-03-23,28
2020-03-24,32
2020-03-25,39
2020-03-26,61
2020-03-27,74
2020-03-28,81
2020-03-29,96
2020-03-30,107
2020-03-31,115
2020-04-01,123
2020-04-02,132
2020-04-03,139
2020-04-04,157
2020-04-05,183
2020-04-06,194
2020-04-07,210
2020-04-08,264
2020-04-09,268
2020-04-10,275
2020-04-11,300
2020-04-12,330
2020-04-13,354
2020-04-14,397
2020-04-15,441
2020-04-16,465
2020-04-17,493
2020-04-18,520
2020-04-19,564
2020-04-20,598
2020-04-21,609
2020-04-22,672
2020-04-23,703
2020-04-24,807
2020-04-25,866
2020-04-26,950
2020-04-27,1014
2020-04-28,1053
2020-04-29,1110
2020-04-30,1167
2020-05-01,1229
2020-05-02,1470
2020-05-03,1594
2020-05-04,1681
2020-05-05,1802
2020-05-06,1886
2020-05-07,2081
2020-05-08,2266
2020-05-09,2437
2020-05-10,2556
2020-05-11,2831
2020-05-12,2964
2020-05-13,3148
2020-05-14,3372
2020-05-15,3577
2020-05-16,3826
2020-05-17,4088
2020-05-18,4263
2020-05-19,4481
2020-05-20,4919
2020-05-21,5187
2020-05-22,5579
2020-05-23,5915
2020-05-24,6263
2020-05-25,6660
2020-05-26,7136
2020-05-27,7768
2020-05-28,8387
2020-05-29,8731
2020-05-30,9592
2020-05-31,9982
2020-06-01,10531
2020-06-02,10991
2020-06-03,11638
2020-06-04,12245
2020-06-05,12728
2020-06-06,13358
2020-06-07,13643
2020-06-08,13949
2020-06-09,14644
2020-06-10,15281
2020-06-11,16165
2020-06-12,16929
2020-06-13,17842
2020-06-14,18459
2020-06-15,19073
2020-06-16,19883
2020-06-17,20685
2020-06-18,21499
2020-06-19,22476
2020-06-20,23512
2020-06-21,24388
2020-06-22,25493
2020-06-23,26389
2020-06-24,27487
2020-06-25,28503
2020-06-26,29423
2020-06-27,30676
2020-06-28,31524
2020-06-29,32125
2020-06-30,33219
2020-07-01,34227
2020-07-02,35528
2020-07-03,36818
2020-07-04,38071
2020-07-05,39297
2020-07-06,40509
2020-07-07,41545
2020-07-08,42984
2020-07-09,44113
2020-07-10,45565
2020-07-11,47200
2020-07-12,48187
2020-07-13,49250
2020-07-14,50867
2020-07-15,52218
2020-07-16,54156
2020-07-17,56102
2020-07-18,58138
2020-07-19,59582
2020-07-20,60991
2020-07-21,62357
2020-07-22,64135
2020-07-23,65252
2020-07-24,66456
2020-07-25,68281
2020-07-26,69429
2020-07-27,71181
2020-07-28,72327
2020-07-29,73534
2020-07-30,75234
2020-07-31,76789
2020-08-01,78793
2020-08-02,80153
2020-08-03,81846
2020-08-04,83361
2020-08-05,85141
2020-08-06,86423
2020-08-07,87891
2020-08-08,89055
2020-08-09,89999
2020-08-10,91635
2020-08-11,93328
2020-08-12,95071
2020-08-13,96459
2020-08-14,97950
2020-08-15,99146
2020-08-16,100344
2020-08-17,101223
2020-08-18,103019
2020-08-19,105050
2020-08-20,106065
2020-08-21,107435
2020-08-22,108427
2020-08-23,109149
2020-08-24,110148
2020-08-25,110999
2020-08-26,112094
2020-08-27,113129
2020-08-28,114409
2020-08-29,115354
2020-08-30,115968
2020-08-31,116598
2020-09-01,117267
2020-09-02,117928
2020-09-03,118781
2020-09-04,119580
2020-09-05,120241
2020-09-06,120769
2020-09-07,121604
2020-09-08,122308
2020-09-09,123345
2020-09-10,124205
2020-09-11,125172
2020-09-12,125982
2020-09-13,126791
2020-09-14,127619
2020-09-15,128286
2020-09-16,128872
2020-09-17,129419
2020-09-18,130051
2020-09-19,130470
2020-09-20,130676
2020-09-21,130986
2020-09-22,131453
2020-09-23,131990
2020-09-24,132618
2020-09-25,133222
2020-09-26,133592
2020-09-27,133901
2020-09-28,134223
2020-09-29,134641
2020-09-30,135311
2020-10-01,135716
2020-10-02,136219
2020-10-03,136569
2020-10-04,136868
2020-10-05,137107
2020-10-06,137468
2020-10-07,137706
2020-10-08,137969
2020-10-09,138226
2020-10-10,138463
2020-10-11,138574
2020-10-12,138695
2020-10-13,138922
2020-10-14,139141
2020-10-15,139319
2020-10-16,139562
2020-10-17,139710
2020-10-18,139771
2020-10-19,139890
2020-10-20,140037
2020-10-21,140228
2020-10-22,140445
2020-10-23,140612
2020-10-24,140779
2020-10-25,140853
2020-10-26,140952
2020-10-27,141124
2020-10-28,141321
2020-10-29,141484
2020-10-30,141631
2020-10-31,141757
2020-11-01,141833
2020-11-02,141867
2020-11-03,141936
2020-11-04,142062
2020-11-05,142201
2020-11-06,142343
2020-11-07,142427
2020-11-08,142475
2020-11-09,142561
2020-11-10,142664
2020-11-11,142776
2020-11-12,142889
2020-11-13,143069
2020-11-14,143181
2020-11-15,143246
2020-11-16,143371
2020-11-17,143473
2020-11-18,143569
2020-11-19,143756
2020-11-20,143854
2020-11-21,143922
2020-11-22,143978
2020-11-23,144034
2020-11-24,144147
2020-11-25,144276
2020-11-26,144390
2020-11-27,144494
2020-11-28,144592
2020-11-29,144622
2020-11-30,144708
2020-12-01,144810
2020-12-02,144994
2020-12-03,145186
2020-12-04,145325
2020-12-05,145492
2020-12-06,145560
2020-12-07,145657
2020-12-08,145846
2020-12-09,146060
2020-12-10,146385
2020-12-11,146697
2020-12-12,147030
2020-12-13,147150
2020-12-14,147345
2020-12-15,147716
2020-12-16,148214
2020-12-17,148665
2020-12-18,149149
2020-12-19,149770
2020-12-20,150023
2020-12-21,150385
2020-12-22,151059
2020-12-23,152064
2020-12-24,153121
2020-12-25,153590
2020-12-26,154349
2020-12-27,154843
2020-12-28,155594
2020-12-29,156887
2020-12-30,158372
2020-12-31,160124
2021-01-01,160985
2021-01-02,162055
2021-01-03,162661
2021-01-04,163671
2021-01-05,165268
2021-01-06,166981
2021-01-07,168891
2021-01-08,171154
2021-01-09,172798
2021-01-10,173896
2021-01-11,175288
2021-01-12,176761
2021-01-13,178818
2021-01-14,181016
2021-01-15,183589
2021-01-16,185680
2021-01-17,187183
2021-01-18,188733
2021-01-19,191090
2021-01-20,193745
2021-01-21,196393
2021-01-22,198257
2021-01-23,199989
2021-01-24,201037
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-25,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
2021-01-26,202818
