"Fecha","Recuperados"
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,1
2020-04-02,1
2020-04-03,2
2020-04-04,2
2020-04-05,2
2020-04-06,2
2020-04-07,2
2020-04-08,2
2020-04-09,2
2020-04-10,2
2020-04-11,2
2020-04-12,2
2020-04-13,6
2020-04-14,7
2020-04-15,14
2020-04-16,26
2020-04-17,31
2020-04-18,31
2020-04-19,31
2020-04-20,37
2020-04-21,37
2020-04-22,44
2020-04-23,44
2020-04-24,54
2020-04-25,54
2020-04-26,80
2020-04-27,98
2020-04-28,110
2020-04-29,117
2020-04-30,132
2020-05-01,134
2020-05-02,159
2020-05-03,166
2020-05-04,174
2020-05-05,187
2020-05-06,198
2020-05-07,219
2020-05-08,237
2020-05-09,258
2020-05-10,273
2020-05-11,299
2020-05-12,313
2020-05-13,339
2020-05-14,356
2020-05-15,434
2020-05-16,473
2020-05-17,493
2020-05-18,503
2020-05-19,533
2020-05-20,553
2020-05-21,561
2020-05-22,575
2020-05-23,609
2020-05-24,629
2020-05-25,647
2020-05-26,677
2020-05-27,689
2020-05-28,738
2020-05-29,749
2020-05-30,889
2020-05-31,968
2020-06-01,1137
2020-06-02,1298
2020-06-03,1507
2020-06-04,1658
2020-06-05,1739
2020-06-06,1902
2020-06-07,2086
2020-06-08,2159
2020-06-09,2190
2020-06-10,2261
2020-06-11,2372
2020-06-12,2431
2020-06-13,2768
2020-06-14,3113
2020-06-15,3430
2020-06-16,3752
2020-06-17,4002
2020-06-18,4002
2020-06-19,4670
2020-06-20,5086
2020-06-21,5454
2020-06-22,5857
2020-06-23,6300
2020-06-24,6795
2020-06-25,7338
2020-06-26,7736
2020-06-27,8158
2020-06-28,8517
2020-06-29,8928
2020-06-30,9340
2020-07-01,9764
2020-07-02,10358
2020-07-03,10766
2020-07-04,11272
2020-07-05,11667
2020-07-06,11929
2020-07-07,12398
2020-07-08,12883
2020-07-09,13354
2020-07-10,13918
2020-07-11,14333
2020-07-12,14843
2020-07-13,15294
2020-07-14,15819
2020-07-15,16357
2020-07-16,16979
2020-07-17,17882
2020-07-18,18200
2020-07-19,18553
2020-07-20,18875
2020-07-21,19290
2020-07-22,19721
2020-07-23,20030
2020-07-24,20614
2020-07-25,20951
2020-07-26,21169
2020-07-27,21478
2020-07-28,21971
2020-07-29,22506
2020-07-30,23305
2020-07-31,23582
2020-08-01,23968
2020-08-02,24156
2020-08-03,24510
2020-08-04,25390
2020-08-05,26437
2020-08-06,27373
2020-08-07,28139
2020-08-08,28904
2020-08-09,29808
2020-08-10,30823
2020-08-11,31753
2020-08-12,32830
2020-08-13,33720
2020-08-14,34723
2020-08-15,35638
2020-08-16,36491
2020-08-17,37471
2020-08-18,38623
2020-08-19,39965
2020-08-20,41111
2020-08-21,42141
2020-08-22,43887
2020-08-23,45396
2020-08-24,47050
2020-08-25,48875
2020-08-26,50397
2020-08-27,52521
2020-08-28,54914
2020-08-29,56749
2020-08-30,58497
2020-08-31,60408
2020-09-01,62124
2020-09-02,64074
2020-09-03,65884
2020-09-04,67844
2020-09-05,69566
2020-09-06,71489
2020-09-07,73150
2020-09-08,75098
2020-09-09,77216
2020-09-10,79483
2020-09-11,81240
2020-09-12,82796
2020-09-13,84286
2020-09-14,85198
2020-09-15,86216
2020-09-16,87031
2020-09-17,87716
2020-09-18,88457
2020-09-19,89032
2020-09-20,89617
2020-09-21,90240
2020-09-22,90853
2020-09-23,91556
2020-09-24,92101
2020-09-25,92868
2020-09-26,93406
2020-09-27,93791
2020-09-28,94324
2020-09-29,94895
2020-09-30,95529
2020-10-01,96165
2020-10-02,96654
2020-10-03,97105
2020-10-04,97547
2020-10-05,98007
2020-10-06,98542
2020-10-07,99268
2020-10-08,99812
2020-10-09,100347
2020-10-10,100786
2020-10-11,101103
2020-10-12,101523
2020-10-13,102083
2020-10-14,102642
2020-10-15,103499
2020-10-16,103896
2020-10-17,104202
2020-10-18,104483
2020-10-19,104957
2020-10-20,105526
2020-10-21,106330
2020-10-22,106950
2020-10-23,107633
2020-10-24,108067
2020-10-25,108658
2020-10-26,109228
2020-10-27,109769
2020-10-28,110303
2020-10-29,110759
2020-10-30,111178
2020-10-31,111503
2020-11-01,111848
2020-11-02,112055
2020-11-03,112526
2020-11-04,112842
2020-11-05,113386
2020-11-06,113899
2020-11-07,114225
2020-11-08,114466
2020-11-09,114881
2020-11-10,115199
2020-11-11,115718
2020-11-12,116137
2020-11-13,116505
2020-11-14,116828
2020-11-15,117137
2020-11-16,117454
2020-11-17,117789
2020-11-18,118333
2020-11-19,118691
2020-11-20,119029
2020-11-21,119180
2020-11-22,119338
2020-11-23,119548
2020-11-24,119835
2020-11-25,120209
2020-11-26,120720
2020-11-27,121050
2020-11-28,121280
2020-11-29,121472
2020-11-30,121702
2020-12-01,122495
2020-12-02,123673
2020-12-03,124015
2020-12-04,124390
2020-12-05,124596
2020-12-06,124799
2020-12-07,124981
2020-12-08,125230
2020-12-09,125490
2020-12-10,125716
2020-12-11,125886
2020-12-12,126092
2020-12-13,126221
2020-12-14,126439
2020-12-15,126720
2020-12-16,126950
2020-12-17,127155
